,yelping_since,review_count,average_stars,user_id,name
953,2013-06-13,21,3.52,7rXGuvEuB9gSboFsiu0qrA,Mike
982,2012-03-27,11,3.82,8WmgjhQ1hWhJqLzWzhYgzw,Amanda
983,2015-12-27,3,3.67,-p6Alqc0Ox__a0yShpeo3Q,Mukul
993,2013-04-18,5,4.0,a5Bp1Et9x7tjgs1C7Jhszw,Oand
1001,2013-07-21,10,4.8,Hcm5kka9namXTaZfZWNHxA,Colan
1003,2013-12-29,8,4.0,endB4KW0hxc_AX1tMzy3mA,David
1005,2009-08-28,25,3.96,b67L7RrUtftAeE_F3WIqkA,Chris
1006,2015-02-16,10,3.7,QWPelHItKJgCfpNsejzK-w,Anish
1017,2014-04-07,4,2.75,r9gS24M4OSvPMW3SMFAIRA,Chris
1031,2013-07-03,5,4.0,WvklcMctTKgRPonBDYKXPQ,Isabela
1036,2008-06-20,1,3.5,mk62wxIubZZXccV_uQDTTQ,Steve
1054,2013-01-13,12,4.25,o9Mu4Hd9Z-7jCOjAvq1oig,Saad
1057,2008-09-12,4,3.5,PqqHkYmzE6r5JrcsDZaGVw,Dave
1060,2007-02-05,55,3.71,d1G6qV4v2RT2o8v27anr2w,John Paul
1076,2017-02-16,1,5.0,DRoqTFBQzalZ7UzJlT3Bgg,Raxhel
1088,2010-09-13,33,3.58,sq3gM1TxI8ys_rbz1a4gxw,Lupillo
1117,2010-03-20,15,3.13,7jC1Tt6QElBftaWT0C4S6Q,Jerry
1131,2013-12-15,44,3.62,MNa-NAt_G_kNNBCQjeN8Bw,Ericka S.
1140,2013-10-19,13,2.93,xNSvX-tVu4D_V3zTR8051Q,Angus
1170,2009-08-28,29,3.34,7WXrMVyw4W6daWeATyj3YA,Elvin
1214,2009-06-11,20,3.63,8u40-3Iu-M6peVHJZv4sVA,Frank
1216,2015-11-03,3,3.33,_r22lqOzOeJQBty7yePKxw,Annette
1217,2013-06-06,3,4.67,dggpPUigWTrRrv6k92EEMg,Katie
1234,2013-10-17,5,3.6,qKCV59PcW7B0WOpE-Fq3kQ,Daniela
1264,2013-08-28,28,4.21,ZdVNIDOkA1AfWIjg9UpibQ,Diana
1277,2014-12-21,5,2.11,mqSmeEgELmm7Cj3IW_Kvbw,Doctor
1292,2013-02-10,2,3.0,Qf2VBQhFTmE9LkMLVBOejA,Steve
1301,2010-06-07,36,3.46,kG5ve_6ood44ljvsshqMdQ,Laz
1322,2015-10-13,15,4.07,Afm34ZceGoEwbSt4cnL1bg,Larah
1323,2013-06-10,31,3.59,Tdtd_qBVouUfMN1NgJbE5g,Derek
1343,2012-09-22,3,5.0,N0LWNcafZ2jFYBneS9Qkeg,Justin
1351,2014-02-15,60,4.1,TYiDRwfIUBEos45ERdzeAw,Lara
1381,2012-10-07,24,4.12,FWQVtccfiH4wOBW8_w9c6w,Tara
1385,2013-01-02,7,2.86,yKvYCZF2y83nZXEiEL6Q5w,M.H.
1394,2013-08-13,8,3.0,5XXs5j1MhHtxYalTLpV7iw,Joe
1400,2014-05-24,1,2.0,QD7mbr-d-hezxf-fufBFeQ,Jake
1401,2013-08-12,11,3.18,ZuLsuV5Bp7lOGmRE4L3znQ,Alex
1408,2013-07-22,39,3.78,3cJEotZ_wbpQv3p0FMGRZw,Rebecca
1415,2009-10-21,182,3.35,eeBt7Uo5FOXwvaLIeW3fGA,Tina
1429,2013-09-03,1,5.0,06ZfBvT2yJ17TLqCP5ZY5w,Shaun
1443,2013-01-05,7,2.57,HBbXFV2dsQRJCzoFoQlO9w,Carol
1467,2013-07-22,32,3.36,U0LynIOSfU0RiIe096zHrQ,DJ Tee
1517,2016-07-11,1,4.0,Jr_Xg_lpcdmEr-s5jrwkLw,Eunice
1529,2013-07-07,37,3.55,a4PU5fqFJynStdxMlxRflg,Fiona
1598,2014-10-18,14,3.43,w7RuM86qQTViJoA8Magf7w,Marty
1608,2013-07-06,18,3.42,ERMse5rxiFxACcvROUIL3g,Spiro
1610,2015-12-15,6,3.83,sMOEcJ7fGe6YyEJCyaDxgw,Gerry
1612,2012-07-11,3,2.0,nbp5a_qIwJjirLA66PhfSA,Chris
1645,2014-05-19,1,1.0,TcU-6dclrAtPGR_DDGMbmQ,Bobby
1661,2015-03-14,6,3.67,QKIzTEo2Ft-8M34BsYdVSA,Amelia
1692,2012-11-26,7,4.57,WI3X4caJ6U2SSlFzHOZbWA,Beth
1717,2013-02-10,14,3.64,g38MvaqIcoSVVS8GSIuayQ,Olivia
1727,2015-06-15,10,3.0,0NhrqgYTASYdOPkk5p67Lw,Nikki
1734,2013-11-03,6,3.33,sM0KTphyVdYxp6hcZ0ynVg,Tyson
1739,2013-11-14,18,4.11,bqsLxsH9Q1zvwMAnAp7JEA,A
1760,2016-07-18,5,2.8,ZEZ-sTN3gxoi5gXF-gBFCQ,Mary
1765,2015-11-24,9,3.67,0xpcysF5okiuprk8S9lDFw,Maddy
1779,2013-09-11,5,5.0,5_vYRG4W-UyULw15aR2KHA,Juliette
1782,2010-06-08,35,3.17,Ys9ifptk9jBjybMUMqCZHQ,Kathleen
1784,2012-06-10,53,3.58,MgNkhX_twE5Gp9BK-yWZPQ,Salma
1786,2009-11-28,31,3.39,6ymZbkJ7vt8eGHA7bHlONg,Amanda
1807,2011-03-02,43,3.19,r9hVkraM-NkeNmhWkoaj1w,Loulou
1811,2015-02-28,26,4.0,48VpixVaQcPFw2w6UPHWww,Foodie
1864,2011-02-13,19,4.24,wHKGTsPrB_DX4Fur2GGLJQ,ET
1872,2013-04-15,22,3.65,M2I0L6vvr7vmb4an4vp6lg,Ella
1885,2013-03-07,10,4.0,eQp-FBmcSfiOR0YZ2cZ8GQ,Shian
1891,2011-03-08,4,4.5,iieTHMErGQh4uqmoDNvcJA,Lisa
1923,2010-03-12,13,4.31,7SWmA6qNjEndMYJNTpmg7g,Vincent
1932,2013-08-03,7,4.0,bk2bBVnMyCyhOfYAUPgwkw,K
1978,2011-04-16,10,4.3,V4YikatszGV5nYAEGf5edw,Geoff
1981,2013-08-05,2,2.0,rzbHhu473T6JrP_d9_NgGw,Sean
1999,2015-07-21,3,3.67,EA5EoXOw6JQZsjFj8paw-g,Seven
2011,2017-04-16,4,4.4,EysWk_qXLeZeJYtmZhFX6A,Foodie
2014,2013-12-24,23,4.13,z1DHWlHWRc6PT8iBjAEnlg,Samuel
2028,2012-03-30,27,4.45,cu0ZyRh7GJyRqEeGKFDBkA,M
2038,2011-07-15,16,4.78,AHXy4uTg_L8VFXNRufLYdQ,Iga
2046,2012-12-24,13,4.31,2fWwhPNY0rEQsxob71oB6w,David
2070,2015-04-02,7,4.14,dhHQpM9jIb1jdF_6Uby--g,Mike
2077,2012-05-20,14,3.27,46Lb-N1k8U2Qz-wsi0fCfQ,Eric
2097,2010-02-28,129,3.91,voXU5A3FfOcXZ2VNsJ0q4w,Kim
2120,2015-08-14,16,4.16,YU8MtAX1itDxkPJbHlv0tw,Amritbir
2154,2014-11-23,5,4.67,uwvE9bCRRwUu1LYgHPEM_g,Scott
2187,2015-01-11,1,1.0,e97BFdhEcJ353Pb0oN87HQ,Ke
2203,2013-09-20,25,1.69,BCKP1gj6vW6QfRQcl4TIBQ,Karolina
2207,2014-04-17,3,5.0,Dl81eXolHDkj2-lt_n_JJw,Jimmy
2211,2013-10-22,6,1.83,LndN05uRVTDgPv2tUCVfEA,Bahareh
2218,2012-09-25,10,4.09,6h-0lVxAWgsClGzevN4HJw,Soumil
2248,2012-05-19,68,3.25,PkRFSQgSfca9Tamq7b2LdQ,Laura
2254,2016-06-06,18,3.5,ZJrUFhtPyYsHUKUTAbMSEA,P
2256,2010-07-26,24,3.33,1po30PVblm1zJbfvM71BRA,Rebecca
2290,2014-11-06,19,3.11,ipwdv0BB_0Rfz_a_2L0P6w,Katie
2327,2014-07-17,2,5.0,_AT_5YvoYJfrUdCSc1i9yw,Ed
2331,2010-05-29,6,4.67,m1fnr9TUkvTcrfbwz9Bw4g,darin
2342,2011-01-27,13,4.57,u04pbgaUuqqy0UnMI05p8A,Kevin
2357,2011-08-29,19,3.25,8rrh7WPK42hzZaxrLJHTOA,A
2364,2016-01-15,8,4.0,UEY8l4Jc8wv6W4jAW5Y-iA,Jennifer
2367,2013-12-12,11,3.0,MS0cSlnL_E8YF1mtvGHR2g,Cristina
2439,2017-02-26,2,3.0,xGyo6YPsdttNUylY7yHHCw,Jasmine
2442,2014-12-13,5,3.4,Ngaj_wKbxdpsqEp3wselvQ,Asif
2460,2012-10-05,7,3.71,h0mL0eKqsK1urMXhXWDzcw,Mas
2471,2014-08-07,6,3.5,k9xapkztn8G9dQtnLmI4PQ,Saba
2474,2015-05-10,1,2.0,enDOQP4QTCQJ2CI_AYO7RQ,Elio
2529,2016-12-10,1,1.0,y97lF4_MM-u8iv2tlr3okw,Keyi
2543,2013-05-26,5,1.4,l3eE374nzT7ye__8HpEE6w,Paula
2552,2015-11-11,5,3.8,vwq3ttyKk5ZF_LqYPm5PXw,J
2563,2012-05-20,90,3.54,rp10AQdPM9MIxNzxj6SOZw,Practical
2588,2015-06-08,5,3.4,rpU0QlA4E2YSBwU0KXw4Aw,Samantha
2594,2017-01-18,4,4.0,M4k3Nt4DtKbVcxMSS_oVJw,Thura
2598,2011-02-24,10,4.7,Zgo78OAlkgccXChkczNb-A,Pedram
2624,2015-07-06,2,4.0,YxBojY9-GDeAdQ2w6xE7Sw,Kate
2632,2013-07-08,6,2.67,Ox1w6kdBfHpQC641hpK-EQ,Steve
2681,2017-08-09,6,4.17,X3LnqWpIFCDWlk6uyYXldw,Kimilisaaa
2689,2014-12-28,6,1.83,YYIADclZZzcv_sXnfTwj1A,Nusra
2713,2017-02-08,2,3.0,ZhHmeYwMkSXoMUf5WUOCng,Jennifer
2716,2016-05-11,1,1.0,KwM5b2Dgj4zSd4Oz3FKgEw,Dena
2718,2015-12-16,2,3.0,CvQ4JQHPfOPFY-Yf0rqWgw,L
2737,2014-01-04,12,3.75,6kfakIlU6RTmAdAgKYVrdg,Emil
2745,2014-03-14,12,3.08,rjFHzln1LNxfgGUoPd4jCA,Otto
2811,2013-07-06,7,2.63,zvhrKsypoWPmU5thpCY_JQ,Mark
2845,2013-05-11,13,2.79,s1jLWkNx3Bmr9Zz79wYWDA,Carlson
2858,2017-07-20,1,2.0,wEtbMim8Tzg94s3dVOv0Pg,Carlos
2879,2012-08-08,9,2.33,65tbnDFr99Dz-oBEDKMneg,Deborah
2887,2015-02-10,83,3.71,aBXJK7fk2GDhDmgJEKiBeA,Melanie
2894,2008-12-31,12,4.46,pQY_h122h0nzPn5l5OY9nQ,Claire
2907,2010-08-08,27,4.19,yNJD2mG-1DOfvFC-i1Cktg,lole
2911,2015-02-23,120,4.22,gYZlUv_VmsXrcjaTiDAHSQ,Nadia
2916,2013-02-13,7,4.63,w3tXd4Y8eOnMUFterwzlhw,A
2919,2013-07-31,3,4.0,fDqg6gevBw6YvIdaFe8Iog,Monica
2936,2010-12-07,45,3.83,k6AsmDEHp8cmc8Xy2wp0mQ,Teresa
2957,2010-08-23,11,3.83,f8NeFp3PmvTEOKfjm76xxA,Poul
2959,2010-12-20,122,3.74,q9iOvVsQU7V2_cIHYnKAcw,Amy
2963,2014-08-05,11,4.55,9e0Za9pYKridpAV3_oyO1A,Doan
2974,2016-09-18,1,5.0,iJqnS55fdRcJnP5mHkv4mw,Cl
2980,2011-09-09,3,3.67,uzqiopP0Ayza7HbRnYOEzg,Harmonie
2990,2011-05-11,9,3.33,mTFsi3WzmV0Sqo2Z_kgXSg,k
2996,2009-11-28,12,3.85,w2LM4CFaoXwuuZuIPyy2ow,Chris
3004,2012-03-05,15,3.53,IdQmu8RFEZu6kS3Vuf1WlA,Elina
3011,2010-10-17,51,3.69,mtC7hy-bMp17ZT5Zebo2xw,Ken
3016,2013-02-09,22,4.75,4ZxqfwJvd04uOUiYCQTJhQ,Neeraj
3019,2016-02-13,30,3.67,hf97HUWZxqSqhPkN34gYkg,Naveen Prasad
3042,2015-03-04,3,3.67,ouX8pBGkEyKY2qDVqL898A,Cailin
3058,2015-02-19,6,4.0,v9HcoFKqF0aB-371cCX74w,Andrew
3074,2010-11-17,33,4.7,sA179Jmwb49Ig_kpG8-ZHQ,Kelly
3075,2012-02-15,2,4.0,cJFgr1Xg7gbgjNKS8RJiXA,Tika
3078,2014-01-30,7,4.29,y4SzSqPIQFImnagrsrDN8Q,Kurt
3080,2011-01-07,36,3.54,Q0EVsbnFRnI_92r470VnEw,Parkinthemirz
3088,2014-07-22,6,3.0,IO3jbrucH2q8nm4seh1VWw,Natalie
3091,2014-10-26,12,3.75,sB_XDyNOZUfn8An-jSwfdA,Doug
3092,2014-08-31,10,2.2,ys2tUYVbiOzzR8xmsf-fSw,Mar
3096,2014-04-24,2,4.5,8xorz_Fv0D_KnHTtRmiTEQ,C
3135,2013-03-24,5,3.8,-G9teoArJvOUpoOjm9W2pg,Alla
3180,2013-01-16,5,2.4,QGPnNyMLKnsbQWT4IYuquQ,Peter
3203,2013-08-13,10,2.27,W1Nde0RcP1-eoEpesZjb_g,Michelle
3207,2011-01-25,20,3.9,M1vcFzCYRS2WGcIaJ5U0_w,Greg
3221,2015-08-04,3,3.0,5oxEbu3rSCb-nZd4Jkc3sw,Swara
3243,2013-08-28,37,2.97,X5TCkfEdMOFEJID3KQZKHA,Derek
3246,2014-03-07,8,1.5,J2juZeIULyhZdmHYBvoQ7g,Laura
3283,2012-12-16,10,2.91,OGFuweKQolnAYkYtMb8mkA,N
3303,2015-09-04,1,5.0,bpZ6VcQsfBHCFJ6kpHw__g,Reb
3314,2012-10-27,4,3.0,4XqJ9sl4FmULShR0ZcJgZw,Daniel
3336,2015-06-09,11,4.64,ShocF89J5vaQd-XskuB2FA,Britt
3344,2014-05-06,4,2.0,MZgOPX6i45i7qNBeJIIbrA,Calvin
3348,2013-09-06,2,5.0,XsPovQZYs_rAUqJEnQ8lsQ,David
3426,2016-03-15,24,4.42,VMSX9zRCWFfeGk587R1osQ,Sarah
3476,2015-11-20,1,5.0,vsjY0W9qvv-Ogh17gcyrnQ,Quincy
3481,2013-11-04,3,4.0,jFebSBA0Dh0-eN-zAXZgJw,Susan
3509,2015-08-14,3,2.67,BaxnP1YLx4fFjJJ1yD1BzA,Michael
3511,2012-09-29,16,3.35,pbY5LhjmL0ifL8fQIQtr5Q,Sarah
3524,2012-07-02,2,3.0,S2eQ6eqTeOG7cmmQk5MY0w,Garret
3543,2009-04-06,5,2.2,-HlQcTRGgtQoxi7SPA04Fw,Ri
3600,2016-01-17,4,3.0,Z9RKiG2yQknz9spbAF22yw,Giancarlo
3685,2012-04-03,16,2.59,SF83eQjb7XUiXuZVzMtzjQ,Susan
3726,2013-08-21,5,4.0,VuviKPYcCrlB12ozHh9lCQ,Sharon
3748,2014-08-04,7,2.75,7dkpj6ssz50qR8mHCCrmgg,Anita
3762,2011-03-16,3,5.0,YlnPf2yNU6P3JMxys8DxIg,Hugh
3767,2013-07-15,13,2.54,4dpYDigFwt9I6JJ5y6CyfA,Kitty
3874,2015-01-22,12,4.75,SCB94wSJlIvDkPGdB_Z_cg,J
3934,2012-09-02,3,3.33,ZvyQR1jsiFAgQAvtIHdIcA,Grace
3966,2015-08-21,5,4.6,ne3jYRp8PDnrj-XM2CQgbQ,Xenia
4027,2017-01-16,6,3.67,Yy2r5jNnfqMnY26A0LL3vw,C
4029,2015-10-31,5,2.6,t-IEXmF4cYzdIuY8uJtldA,Mario
4035,2016-09-10,2,3.0,6od7aTVyUMgty7nevRlP2g,TOarea
4050,2014-03-26,125,2.68,197Ih1SgXyHh0tf7Heqr8Q,Ri
4063,2015-12-13,7,3.86,xWO8_zRZxCaXVY67sFEudg,Ken
4067,2012-02-07,3,4.0,IFuUSl8V8N0nFI1KNMIh7A,P
4071,2017-07-27,2,5.0,t3unbyYPWgJ1B3ZIjeA3FQ,Kyle
4101,2012-08-10,34,3.0,YCneW76-50jCwCV21Rm4sw,Jinjer
4117,2014-05-29,2,3.67,PvHdU4O5HyLsq8AlkbEWpw,Jas
4137,2014-11-10,10,3.5,vlJ3VU2ViFRD-sqTDd1VhA,Alisa
4170,2015-09-15,3,4.67,ch5ICy4Pc3ZVYRE7JdoXew,Tanya
4188,2011-03-30,21,4.52,HfdfE4lFt2AkB-zOi_dkTw,T
4189,2017-03-01,2,4.0,qqL8KjbLAyNNzKRhDlWmaQ,Pablo
4196,2015-08-04,4,3.25,EUtruv6hXW9serrT0-eBmA,Josep
4260,2016-01-23,1,5.0,bwPkVskOm7n5H6bI05qpJA,Krista
4269,2016-09-28,3,1.33,8vByLahzAsULpdXqF3wQPA,Sajeethan
4300,2015-06-05,9,4.33,kdy525EzZfChOSiwINnthw,Robert
4331,2016-01-14,6,4.0,EK2nPYX0cOiEW8LwpJ21rg,Sheila
4353,2013-10-06,25,3.32,w0PGaBMEUjYPSqUYGeU1sw,J
4354,2012-08-13,6,2.5,a9D60tmH2J9JdieRCMLAwA,Dena
4355,2015-10-18,1,1.0,htRa_IVE7pG8jFt0exqQVw,Nidhi
4397,2014-05-06,23,3.0,Y3nbyDGRTYoYitCN--c0DA,Emory
4408,2015-07-18,3,3.0,5T_GreEbDgWf3ivaIII6AA,D
4416,2017-04-28,3,2.33,XXhCZbEKpEdzoOiUskpSkg,Asad
4438,2015-10-27,3,5.0,8E7bEmXpT1AShrnYWxxYOw,Junaed
4515,2014-10-19,8,3.88,0r8WekKfshJS1sHspblS6A,Debbie
4526,2012-10-18,5,4.8,Dk6hAul7GuMCe7_qsACeBg,Jane
4547,2012-06-05,3,4.33,gFJe4GTA22ixQGJVUxn3-w,Colin
4553,2014-10-05,8,4.13,kztt2gnWVA6sD4wjgldhCQ,Alessia
4559,2017-11-07,4,4.0,lZ21eDDXQdt5GcDudxUfHA,Arrr
4585,2011-08-18,3,2.75,K9yMDJd1nwdAJI2W_PDM9w,Zrahndehzka
4594,2015-08-02,7,3.71,Q_WeufWi5hF6vPvIXbsQxQ,Catherine
4609,2013-09-03,2,1.0,cjWPJtxNTweArXvSmAfYtw,Simon
4655,2016-05-01,5,4.86,aC01Z5c-CvJ9weYlOwOpjA,Maggie
4658,2014-07-20,1,1.0,Qe9Ym01Oxk5Co0DahQTcDw,Michael
4710,2014-09-22,18,4.06,lZw0TH8-mydq2hqULEWfpA,Stephanie
4714,2014-11-27,20,3.9,G5lguI8D1meFabhwZFR51A,Mike
4717,2012-10-05,7,2.71,N0MwA3aqxN8cSA0SbNTXYw,Jerry
4735,2010-06-02,4,1.75,RsuNc8EdA9J_dsImcheaRQ,Elina
4739,2016-04-11,8,3.22,vUUqjWUtVED0tUcL5FGXjw,Zoe
4760,2012-04-18,19,2.9,U7RwNZfExdDWRxGCDnQ2mw,Diana
4761,2013-11-17,1,5.0,UkfCq9B8ielkbvRJD7zeaA,Denise
4767,2016-07-06,2,1.5,Rwv6pX6upLvM_BkXXaWHUA,Krystal
4790,2016-11-11,6,4.17,O1tsqAjQjtVHAIj0ht6KEQ,Kirby
4804,2013-05-21,11,4.36,YcZ1YXbiBYypOqpj8YJp7A,Linda
4822,2010-08-07,3,1.33,dl7iu8x7-LmXUN5LICyXAA,Stephen
4834,2015-01-02,2,5.0,LjX0gva0ssQrLOWfM4Wmsw,Mehreen
4852,2015-04-26,1,4.0,JKq2cZriMC-Y3Un9-TbzgQ,Mary
4889,2015-06-04,1,5.0,yE38TqKYGyakoXLcg_kOIQ,Alice
4905,2014-12-01,15,4.63,pk4t8aOh0U_HDzAqn5ZsMw,Gloria
4918,2012-06-13,45,4.15,xCAwgus9fWEIrv5GvwykEQ,Faraz
4919,2015-05-23,25,3.0,pnjqxf8nqgLI5YSGptorlg,Joyce
4922,2015-08-27,71,3.35,KhrVbHqtDSvUnigNc0JVUg,Sa
4929,2010-02-19,17,3.76,KMSSCtLXkIUCWcOFHMzQdA,Rhae
4936,2014-09-04,2,5.0,uftVShY64mGd7SttUK51dA,Kelly
4940,2015-07-17,2,5.0,wGfD4jKJFFNCT5qKQiF2zw,Anna
4957,2013-04-30,10,4.5,8O07JDHlNRrTt2hhSwXI5g,Nathan
4978,2015-08-20,24,3.96,lPkNDi1u05FCRm93ZF2FFw,Richard
4979,2012-08-20,13,3.69,G3NCbr3QFWJIY0-VsQqUMg,F
4996,2010-12-03,48,3.98,2QhYG5gwEReX7qC_EE7jaA,Susan
5020,2016-01-16,4,3.5,HMeXQDdo6EMs8AzPtgTMXA,Vanessa
5022,2014-01-17,3,3.33,WoFzYG5l_tFyPPbm5MQpZQ,A
5056,2011-08-05,48,4.12,AasTT7t28D5c8wWfCVlEkQ,Maureen
5070,2009-01-04,46,3.57,QsPm2KUEUuRpJlhuWivv8A,SNACKe
5073,2006-07-10,202,3.54,H5AyD3UoMZSYfZmXFSoyCw,Michelle
5079,2009-08-04,9,4.67,DGWpRXvmlJfugjx9k1pvsw,Matt
5100,2011-11-10,89,3.87,DzqjWaOE4CMJS5cxnpD8ZQ,bree
5107,2014-08-16,11,4.0,b87_MZgVCqZiuiWBnLcguA,Alan
5111,2014-04-12,15,3.13,n70LOdre9d_8O7Xj7Ok-eQ,Escoffier
5130,2015-11-21,12,3.86,-xGTBFf3TBNh-zaM1pp0AA,Melanie
5140,2011-08-16,32,4.03,v7jnPnZGfYaJHq7KSNcU3A,Tas
5171,2016-04-23,15,3.67,4ofZzCP_fQsxtzJfGR_n1g,Benzi
5202,2015-07-15,2,3.5,zlISMP8pB5r0xuM32bggbg,Monifa
5219,2014-12-10,3,5.0,erQeXuRv5-lsuh0wCQ8l5Q,Gaetano
5232,2012-08-11,19,4.21,GXYc8Kc6Em1OEbPlAwCL1w,Joanna
5235,2016-12-23,12,3.75,4JX23e84gIit6pZIVA_smw,Terrance
5242,2013-02-20,19,3.95,dwe11hmGAjhmBD2HMTpxrQ,Renee
5245,2015-07-13,25,4.12,k450jPSOnfGTCrtslqsdsg,Ian
5344,2009-05-10,396,3.67,qt1b6zXExL-uoJGRRouQYw,Tanya
5377,2012-09-24,20,4.15,bYf4cFTeRmHz4zYe9DSyPg,Patrick
5385,2010-12-08,23,3.57,3uGBiaa_4BmrA5Nyj6hFRA,Ian
5387,2013-09-30,141,3.56,SRA86Xyf9fbOAhICWttMLQ,Eva
5414,2010-11-10,40,3.76,r8zkajY--d7Ca2gzvO9XHQ,Krishna
5419,2013-05-21,5,4.0,L1ZF0rg5X2njwcnJwNmT7w,Crissa
5434,2013-10-17,12,3.33,7Oc0CT5WZv443tONqyIcGA,Charlie
5452,2014-04-06,133,3.29,V-jhwg0WZsywUKs2fy5VTw,Eric
5453,2011-09-21,10,3.2,xneZ-MRWfbc8zFkDIyLy_w,Michelle
