,business_id,attributes.RestaurantsDelivery,attributes.Open24Hours,attributes.CoatCheck,attributes.DogsAllowed,postal_code,attributes.Smoking,attributes.DietaryRestrictions,attributes.GoodForKids,stars,latitude,attributes.Alcohol,attributes.RestaurantsPriceRange2,attributes.RestaurantsTableService,attributes.RestaurantsCounterService,attributes.Corkage,attributes.RestaurantsGoodForGroups,categories,name,attributes.HappyHour,attributes.WheelchairAccessible,attributes.Caters,attributes.BYOBCorkage,attributes.BYOB,is_open,neighborhood,attributes.Ambience,longitude,attributes.BestNights,review_count,attributes.BusinessAcceptsCreditCards,attributes.DriveThru,attributes.HasTV,attributes.Music,hours,attributes.BusinessParking,attributes.WiFi,attributes.RestaurantsAttire,hours.Sunday,hours.Saturday,hours.Friday,attributes.RestaurantsReservations,attributes.RestaurantsTakeOut,attributes.BikeParking,attributes.OutdoorSeating,city,state
30,b0la3LqC0mIlBVlQDyMyTQ,True,,,,M6G 1M4,,,True,3.0,43.6623822,none,2.0,False,,,True,"Restaurants, Food Delivery Services, Food, Burgers, Chicken Wings",The Wing Company,,True,False,,,0,Christie Pits,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}",-79.4243452,,34,True,False,False,,"{'Monday': '15:0-22:0', 'Tuesday': '15:0-22:0', 'Friday': '15:0-0:0', 'Wednesday': '15:0-22:0', 'Thursday': '15:0-23:0', 'Sunday': '14:30-22:0', 'Saturday': '15:0-0:0'}","{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",no,casual,14:30-22:0,15:0-0:0,15:0-0:0,False,True,True,False,Toronto,ON
34,YkAIlxYZ1guSqbbowU9X4g,False,,,,M5V 3T4,,,False,3.5,43.6446974,full_bar,3.0,True,,,True,"Restaurants, Chinese, Dim Sum, Breakfast & Brunch",Luckee,,,False,,,1,Entertainment District,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': True, 'upscale': False, 'casual': False}",-79.39239509999999,,171,True,,False,,"{'Monday': '16:0-1:0', 'Tuesday': '12:0-1:0', 'Friday': '12:0-1:0', 'Wednesday': '12:0-1:0', 'Thursday': '12:0-1:0', 'Sunday': '11:0-1:0', 'Saturday': '11:0-1:0'}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",no,casual,11:0-1:0,11:0-1:0,12:0-1:0,True,True,True,False,Toronto,ON
35,sYKB4nITCLLFcCZPn3QECQ,False,,,,M4Y 2X6,,,True,3.5,43.665279,full_bar,2.0,True,,,True,"Japanese, Restaurants, Food",Teppan Kenta,,True,False,,,0,Downtown Core,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",-79.38594499999998,,58,True,,False,,"{'Tuesday': '17:30-0:0', 'Friday': '17:30-0:0', 'Wednesday': '17:30-0:0', 'Thursday': '17:30-0:0', 'Sunday': '17:30-0:0', 'Saturday': '17:30-0:0'}","{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",no,casual,17:30-0:0,17:30-0:0,17:30-0:0,True,True,True,False,Toronto,ON
38,QoXT0qI6_3WeHImUuLAyjg,False,,,,M5A 2M6,,,True,3.5,43.6530078233,none,2.0,True,,,False,"Restaurants, Breakfast & Brunch, Diners",The George Street Diner,,,False,,,1,Corktown,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",-79.37141849560001,,110,False,,False,,"{'Monday': '7:30-16:0', 'Tuesday': '7:30-18:0', 'Friday': '7:30-18:0', 'Wednesday': '7:30-18:0', 'Thursday': '7:30-18:0', 'Sunday': '8:30-15:30', 'Saturday': '8:30-15:30'}","{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",no,casual,8:30-15:30,8:30-15:30,7:30-18:0,False,True,True,False,Toronto,ON
40,WeUIaYtfyeX9eQKw_5xeiQ,False,,,,L6M 2R8,,,True,4.5,43.4486,,,,,,True,"Restaurants, Soup, Fish & Chips, Salad",Caz's Great Fish,,,,,,0,,,-79.705066,,9,,,True,,"{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Friday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Sunday': '12:0-21:0', 'Saturday': '11:0-21:0'}",,,,12:0-21:0,11:0-21:0,11:0-21:0,,,,False,Oakville,ON
41,webM3oChwDCkzZEmjrSeHQ,False,,,,M4Y 2G1,,,True,3.5,43.6695736876,full_bar,2.0,True,,,True,"Restaurants, Food, Sandwiches, Caterers, Breakfast & Brunch, Coffee & Tea, Event Planning & Services",The Croissant Tree,,,False,,,1,Church-Wellesley Village,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",-79.3823492115,,52,True,,True,,"{'Monday': '7:30-16:30', 'Tuesday': '7:30-16:30', 'Friday': '7:30-16:30', 'Wednesday': '7:30-16:30', 'Thursday': '7:30-16:30', 'Sunday': '8:30-16:0', 'Saturday': '8:30-16:0'}","{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",free,casual,8:30-16:0,8:30-16:0,7:30-16:30,False,True,True,True,Toronto,ON
44,a9sK9Ma4kIkN0Zpu0SSAtA,False,,,,L5N 8P7,,,True,1.5,43.59689957689999,,,,,,True,"Argentine, Mediterranean, Food, Greek, Restaurants",Mr Greek Express,,,,,,1,Lisgar,,-79.7858462217,,17,True,,,,,,,casual,,,,,True,,,Mississauga,ON
45,M8_C-be43AQsH_sEgLPFPg,,,,,L3P 1X3,,,,2.5,43.8754658,full_bar,3.0,True,,,True,"Italian, Restaurants",Al Dente,,,,,,0,Markham Village,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}",-79.25979609999997,,15,True,,False,,,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",no,dressy,,,,True,,,,Markham,ON
62,wL5yGvlL1zXZ4EPJ8d0hIA,True,,,,M4P 2C6,,,True,4.0,43.7075497,none,2.0,False,,,True,"Sushi Bars, Food, Poke, Restaurants, Asian Fusion, Fast Food",Rolltation,,True,True,,,1,Yonge and Eglinton,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",-79.398122,,73,,False,False,,"{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Friday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Sunday': '11:0-22:0', 'Saturday': '11:0-22:0'}","{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",free,casual,11:0-22:0,11:0-22:0,11:0-22:0,False,True,True,False,Toronto,ON
63,vL17CsjB1PsGgo3F-kppkw,True,,,,L4L 1A6,,,True,4.5,43.8269783,none,1.0,False,,,False,"Restaurants, Italian, Pizza, Food",Pizza Break,,,,,,1,Pine Grove,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}",-79.55149540000002,,43,True,,False,,"{'Monday': '10:0-22:0', 'Tuesday': '10:0-22:0', 'Friday': '10:0-23:0', 'Wednesday': '10:0-22:0', 'Thursday': '10:0-22:30', 'Sunday': '11:30-21:30', 'Saturday': '10:0-23:0'}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",free,casual,11:30-21:30,10:0-23:0,10:0-23:0,True,True,True,True,Vaughan,ON
64,DQf63-KJ25m-kDIMto614g,False,,,,M6J 1V9,,,False,3.5,43.6508652,none,2.0,True,,,False,"Restaurants, Breakfast & Brunch",Saving Grace,,True,False,,,1,Trinity Bellwoods,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': True, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",-79.4124287,,184,False,,False,,"{'Monday': '9:0-14:0', 'Tuesday': '9:0-14:0', 'Friday': '9:0-14:0', 'Wednesday': '9:0-14:0', 'Thursday': '9:0-14:0', 'Sunday': '10:0-14:0', 'Saturday': '10:0-14:0'}","{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",no,casual,10:0-14:0,10:0-14:0,9:0-14:0,False,False,True,False,Toronto,ON
68,qrr5PjTljEn_94tL83ETag,False,,,,M1B 2W4,,,True,3.0,43.8116001,none,1.0,True,,,True,"Vietnamese, Restaurants",Lac Vien Vietnamese Restaurant,,,False,,,1,Scarborough,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",-79.243296,,68,True,,True,,"{'Monday': '11:0-0:0', 'Tuesday': '11:0-0:0', 'Friday': '11:0-0:0', 'Wednesday': '11:0-0:0', 'Thursday': '11:0-0:0', 'Sunday': '11:0-0:0', 'Saturday': '11:0-0:0'}","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",free,casual,11:0-0:0,11:0-0:0,11:0-0:0,True,True,False,False,Scarborough,ON
70,nyM76RUyFzekHHmYEU-KBQ,False,,,,M5G 1C7,,,True,4.0,43.6549946,none,2.0,True,,,True,"Indian, Restaurants, Italian",Eat Fresh Be Healthy,,True,True,,,0,Downtown Core,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",-79.3866757,,172,True,,False,,"{'Monday': '11:30-21:0', 'Tuesday': '11:30-21:0', 'Friday': '11:30-21:0', 'Wednesday': '11:30-21:0', 'Thursday': '11:30-21:0', 'Saturday': '15:0-21:0'}","{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",no,casual,,15:0-21:0,11:30-21:0,True,True,True,False,Toronto,ON
71,ryF2_VC8OSNoe3VlA3bbkw,False,,,,M5R 1A8,,,True,3.5,43.6700794,beer_and_wine,2.0,True,,,True,"Japanese, Restaurants, Sushi Bars",Shogun Japanese Restaurant,,False,,,,1,Yorkville,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",-79.39328959999997,,51,True,,False,,"{'Monday': '17:0-23:0', 'Tuesday': '17:0-23:0', 'Friday': '17:0-23:0', 'Wednesday': '17:0-23:0', 'Thursday': '11:0-15:0', 'Sunday': '17:0-22:0', 'Saturday': '17:0-23:0'}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",no,casual,17:0-22:0,17:0-23:0,17:0-23:0,True,True,True,False,Toronto,ON
72,xaqW4NkmUCGRRjmLxiFJ6Q,False,,,False,L3T 0C7,,,True,4.5,43.80319179999999,none,2.0,False,,,False,"Creperies, Comfort Food, Food, Juice Bars & Smoothies, Desserts, Restaurants, French, Delis",Muncheez,,True,True,,,1,Langstaff,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",-79.4195095,,396,True,,True,,"{'Monday': '11:0-23:0', 'Tuesday': '11:0-23:0', 'Friday': '11:0-23:0', 'Wednesday': '11:0-23:0', 'Thursday': '11:0-23:0', 'Sunday': '11:0-23:0', 'Saturday': '11:0-23:0'}","{'garage': True, 'street': True, 'validated': False, 'lot': False, 'valet': False}",free,casual,11:0-23:0,11:0-23:0,11:0-23:0,False,True,True,True,Markham,ON
73,aTvzqD5Kot4vp3vOnDyrTw,False,,,,M4R 2H1,,,True,3.5,43.7078026,none,1.0,False,,,True,"Restaurants, Greek",Messini Authentic Gyros Yonge Eglinton,,,False,,,0,Yonge and Eglinton,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",-79.3985359,,82,True,,False,,,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",no,casual,,,,False,True,True,False,Toronto,ON
75,oICXzFAaUMrYGzjRWmkw4Q,True,,,,M5T 2G6,,,True,3.5,43.656345,beer_and_wine,2.0,True,,,True,"Asian Fusion, Vietnamese, Restaurants",Anh Dao,,,False,,,1,Chinatown,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",-79.3989615,,85,False,,False,,"{'Monday': '12:0-22:0', 'Tuesday': '12:0-22:0', 'Friday': '12:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '12:0-22:0', 'Sunday': '12:0-22:0', 'Saturday': '12:0-22:0'}","{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",no,casual,12:0-22:0,12:0-22:0,12:0-22:0,False,True,True,False,Toronto,ON
76,tgjbQEtZ_bvQBJOlfiK1OA,False,,,,M4W 1L4,,,False,3.5,43.6715509,full_bar,3.0,True,,,True,"Mediterranean, Middle Eastern, Italian, Restaurants",Mideastro Yorkville,,True,False,,,0,Yorkville,"{'romantic': False, 'intimate': True, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}",-79.3888742,,28,True,,False,,"{'Monday': '17:0-22:0', 'Tuesday': '17:0-22:0', 'Friday': '17:0-23:0', 'Wednesday': '17:0-22:0', 'Thursday': '17:0-22:0', 'Sunday': '17:0-22:0', 'Saturday': '17:0-23:0'}","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",free,dressy,17:0-22:0,17:0-23:0,17:0-23:0,True,True,,True,Toronto,ON
77,sTigKodOrD_HIdcZ8msGJw,False,,,,M4C 1H6,,,True,3.0,43.6836027,beer_and_wine,1.0,True,,,True,"Restaurants, Breakfast & Brunch, Diners",Sunset Grill Restaurant,,,False,,,1,The Danforth,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",-79.32308859999998,,32,True,,False,,,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",,casual,,,,False,True,True,False,Toronto,ON
78,bE9uf-tJu4g0ylUfufPSCw,False,,,,L6V 1B2,,,True,3.0,43.691572799999996,full_bar,2.0,True,,,True,"Mediterranean, Restaurants, Greek",Symposion Greek Cuisine,,,True,,,1,,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}",-79.75446540000002,,9,True,,False,,,,no,casual,,,,True,True,False,False,Brampton,ON
79,prPzWXNUJKZGnzVYqxRLsw,False,,,False,M4S 2M5,,,False,3.5,43.7031107,full_bar,2.0,True,,,False,"French, Cafes, Mediterranean, Restaurants",Cafe Pleiade,,True,True,,,1,Mount Pleasant and Davisville,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}",-79.3876981,,7,True,,False,,"{'Tuesday': '17:30-21:30', 'Friday': '17:30-21:30', 'Wednesday': '17:30-21:30', 'Thursday': '17:30-21:30', 'Sunday': '11:0-22:0', 'Saturday': '17:30-21:30'}","{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",no,casual,11:0-22:0,17:30-21:30,17:30-21:30,True,True,False,False,Toronto,ON
83,5fg-RNWNbqyGn8b8wqe4QQ,True,,,False,L4K 3B9,,,True,3.5,43.78738,full_bar,2.0,True,,,True,"Restaurants, Buffets, Japanese, Sushi Bars, Asian Fusion",168 Sushi Asian Buffet,,True,True,,,1,,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",-79.47149399999998,,217,True,,True,,"{'Monday': '11:0-22:30', 'Tuesday': '11:0-22:30', 'Friday': '11:0-23:0', 'Wednesday': '11:0-22:30', 'Thursday': '11:0-22:30', 'Sunday': '11:0-22:0', 'Saturday': '11:0-23:0'}","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",free,casual,11:0-22:0,11:0-23:0,11:0-23:0,True,True,False,False,Vaughan,ON
85,gcec09O3lhUrzqXNJq0QVQ,False,,,,M5M 4A6,,,True,3.5,43.736206,full_bar,2.0,True,,,True,"Greek, Restaurants",Karbouzi,,,True,,,1,,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",-79.42037540000003,,14,True,,False,,"{'Monday': '12:0-23:0', 'Tuesday': '12:0-23:0', 'Friday': '12:0-23:0', 'Wednesday': '12:0-23:0', 'Thursday': '12:0-23:0', 'Saturday': '12:0-23:0'}","{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",no,casual,,12:0-23:0,12:0-23:0,True,True,,True,Toronto,ON
87,LVQLyQBh-YrPx5E8OtBcsQ,False,,,,M4J 2T8,,,False,3.0,43.6948006,full_bar,1.0,True,,,True,"American (Traditional), Restaurants",The Wally Tap & Grill,,,,,,1,East York,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",-79.343337,,19,True,,True,,"{'Monday': '11:0-1:30', 'Tuesday': '11:0-1:30', 'Friday': '11:0-1:30', 'Wednesday': '11:0-1:30', 'Thursday': '11:0-1:30', 'Sunday': '11:0-1:30', 'Saturday': '11:0-1:30'}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",no,casual,11:0-1:30,11:0-1:30,11:0-1:30,True,True,False,True,East York,ON
88,5Xyqd_NxuHN3Wx7r-1RiBw,False,,,False,L5R 3V2,,,True,3.5,43.591718900000004,none,2.0,True,,,True,"Restaurants, Thai, Vietnamese",My Pho,,True,True,,,0,East Credit,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}",-79.66708299999998,,15,True,,True,,"{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Friday': '11:0-22:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Sunday': '11:0-21:0', 'Saturday': '11:0-22:0'}","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",free,casual,11:0-21:0,11:0-22:0,11:0-22:0,True,True,True,False,Mississauga,ON
93,QJhwQcFKtBn8EahP58nh1w,False,,,,M5T 2M1,,,,3.5,43.6558987,,1.0,,,,False,"Cafes, Restaurants",The Grind House,,,,,,0,Kensington Market,,-79.40255090000002,,19,True,,False,,,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",free,casual,,,,False,False,,True,Toronto,ON
94,NNs2v3f6FIdZ7cSu3LRaHw,False,,,,M3M 3G5,,,True,4.0,43.725725099099996,none,1.0,False,,,True,"Restaurants, Turkish",Euro Shawarma,,,False,,,1,Downsview,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",-79.4820323753,,50,False,,True,,"{'Monday': '11:0-0:0', 'Tuesday': '11:0-0:0', 'Friday': '11:0-0:0', 'Wednesday': '11:0-0:0', 'Thursday': '11:0-0:0', 'Sunday': '12:0-12:30', 'Saturday': '11:0-0:0'}","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",no,casual,12:0-12:30,11:0-0:0,11:0-0:0,False,True,False,False,Toronto,ON
